SET:|TTL:|PPN:|2000|4000|4170|1100|3000|3010|3120|5090|E001|7101|RVK40013|DSTATUS42001|DSTATUS42002|DSTATUS42003|5550|4020|5100|5500|RVK40011|RVK40012|RVK40014|4150|RVK40015|3100;;;;;;;;;;;;;;;
Pica2rvk-Export|1|1752461029|978-3-8325-5245-9|Modelle und Experimente im Chemieunterricht; eine Videostudie zum fachspezifischen Lehrerwissen und -handeln|Studien zum Physik- und Chemielernen$lBand 309|2021|Strübe, Martina ; ID: gnd/1229933840$BVerfasserIn$4aut|Sumfleth, Elke *1952-* ; ID: gnd/121127419$BAkademischeR BetreuerIn$4dgs|Universität Duisburg-Essen ; ID: gnd/10050375-5$BGrad-verleihende Institution$4dgg|DW 1700 [Pädagogik / Erwachsenenbildung und Jugendbildung / Außerschulische Jugendbildung / Allgemeines und Deutschland]|06-08-21 : l01|Che G 300: 15|0|false|false|false||||||||||;;;;;;;;;;;
Pica2rvk-Export|19|1670000311|978-3-8325-4944-2; 3-8325-4944-7|Design-Based Research zur Weiterentwicklung der chemiedidaktischen Lehrerausbildung zu Schülervorstellungen; Entwicklung und Evaluation eines an Forschendem Lernen orientierten Seminarkonzepts|Lernen in Naturwissenschaften$lBand 3|2019|Rohrbach-Lochner, Friederike *1985-* ; ID: gnd/1193702488$BVerfasserIn$4aut||Logos Verlag Berlin ; ID: gnd/1065538812$BVerlag$4pbl|TB 4056 [Allgemeine Naturwissenschaft / Ausbildung, Didaktik, Organisation, Beruf / Didaktik der Allgemeinen Naturwissenschaft / Fachdidaktik für den naturwissenschaftlichen Unterricht an Schulen$ADE-14/sred]|13-01-20 : l01|Che G 480: 3|0|false|false|false|||Chemieunterricht ; ID: gnd/4009832-1|||||||;;;;;;;;;;
Pica2rvk-Export|20|1668552434|978-3-8325-4928-2; 3-8325-4928-5|Kognitive Belastung und aufgabenspezifische sowie personenspezifische Einflussfaktoren beim Lösen von Physikaufgaben|Studien zum Physik- und Chemielernen$lBand 276|2019|Jaeger, Dennis ; ID: gnd/119358583X$BVerfasserIn$4aut|Müller, Rainer *1966-* ; ID: gnd/128383623$BAkademischeR BetreuerIn$4dgs|Technische Universität Braunschweig ; ID: gnd/36227-X$BGrad-verleihende Institution$4dgg||13-01-20 : l01|Che G 130: 10|0|false|false|false|Problemlösen ; ID: gnd/4076358-4||Physikunterricht ; ID: gnd/4045977-9|||||||;;;;;;;;;
Pica2rvk-Export|21|1668307839|978-3-8325-4865-0; 3-8325-4865-3|Organische Leuchtdioden; Implementation eines innovativen Themas in den Chemieunterricht|Studien zum Physik- und Chemielernen$lBand 274|2019|Dörschelln, Jennifer ; ID: gnd/1189261359$BVerfasserIn$4aut||Universität zu Köln ; ID: gnd/2024231-1$BGrad-verleihende Institution$4dgg||11-09-19 : l01|Che G 160: 105|0|false|false|false|Chemieunterricht ; ID: gnd/4009832-1|||||||||;;;;;;;;;;
Pica2rvk-Export|22|1663166196|978-3-86309-635-9; 3-86309-635-5|Schülervorstellungen im Zentrum des Unterrichtsgespräches; Ko-konstruktive Lernprozesse im Chemieunterricht|Schriften der Fakultät Humanwissenschaften der Otto-Friedrich-Universität Bamberg$lBand 30|2019|Fendt, Tanja ; ID: gnd/1183699522$BVerfasserIn$4aut||||07-01-20 : l01|Che G 900: 11|0|false|false|false|||Unterrichtsgespräch ; ID: gnd/4062011-6|||||||;;;;;;;;;;;
Pica2rvk-Export|23|1662450478|978-3-8325-4846-9; 3-8325-4846-7|Analyse des Transfers von kontextualisiert erworbenem Wissen im Fach Chemie|Studien zum Physik- und Chemielernen$lBand 271|2019|Kehne, Franziska *1990-* ; ID: gnd/1181446821$BVerfasserIn$4aut||Universität Paderborn ; ID: gnd/64857-7$BGrad-verleihende Institution$4dgg|VB 4045 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktik und Methodologie in der Chemie und Pharmazie insgesamt, Allgemeines]|11-09-19 : l01|Che G 120: 73|0|false|false|false|Lernerfolg ; ID: gnd/4125753-4|||||||||;;;;;;;;;;;
Pica2rvk-Export|24|1645967808|978-3-8325-4814-8; 3-8325-4814-9|Interaktive Lernaufgaben in dem digitalen Schulbuch eChemBook; Einfluss des Interaktivitätsgrads der Lernaufgaben und des Vorwissens der Lernenden auf den Lernerfolg|Studien zum Physik- und Chemielernen$lBand 268|2019|Ulrich, Nina *1987-* ; ID: gnd/1178340864$BVerfasserIn$4aut|Schanze, Sascha$BAkademischeR BetreuerIn$4dgs|Gottfried Wilhelm Leibniz Universität Hannover ; ID: gnd/64681-7$BGrad-verleihende Institution$4dgg|VB 4045 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktik und Methodologie in der Chemie und Pharmazie insgesamt, Allgemeines]|11-09-19 : l01|Che G 250: 3|0|false|false|false|Lernen ; ID: gnd/4035408-8|||||||||;;;;;;;;;;
Pica2rvk-Export|25|1040143989|978-3-426-27767-6|Komisch, alles chemisch!; Handys, Kaffee, Emotionen - wie man mit Chemie wirklich alles erklären kann||2019|Nguyen-Kim, Mai Thi *1987-* ; ID: gnd/1135801363$BVerfasserIn$4aut|Lenkova, Claire ; ID: gnd/138523452$BIllustratorIn$4ill|Droemer Verlag ; ID: gnd/1065857845$BVerlag$4pbl|VB 2000 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Populärwissenschaftliche Darstellung; Trivialliteratur; Jugendsachbuch$ADE-16]|30-06-21 : l01|Che A 40: 6|201|false|false|false|Alltag ; ID: gnd/4001307-8||Chemie ; ID: gnd/4009816-3||VB 2000|Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Populärwissenschaftliche Darstellung; Trivialliteratur; Jugendsachbuch$ADE-16|N576|||;;;;;
Pica2rvk-Export|26|1035251469|3-527-34286-9; 978-3-527-34286-0|Lehrbuch der Biochemie||2019|Voet, Donald *1938-* ; ID: gnd/132545799$BVerfasserIn$4aut|Voet, Judith G. ; ID: gnd/132546159$BVerfasserIn$4aut||WD 4010 [Biologie / Biophysik, Biochemie, Physiologische Chemie / Allgemeine Biochemie, Physiologische Chemie und Bioengineering / Lehrbücher und einführende Werke]|27-04-20 : l01|Che E 500: 52|201|false|false|false||Dritte, vollständig überarbeitete und erweiterte Auflage|Biochemie ; ID: gnd/4006777-4| |a|Biochemistry|WD 4010|Biologie / Biophysik, Biochemie, Physiologische Chemie / Allgemeine Biochemie, Physiologische Chemie und Bioengineering / Lehrbücher und einführende Werke|V876 (3)|||;;;;;;;;;;;
Pica2rvk-Export|27|1035250934|978-3-527-34586-1; 3-527-34586-8|Chemie für Einsteiger und Durchsteiger||2019|Wurm, Thomas ; ID: gnd/122587758$BVerfasserIn$4aut|||VC 5010 [Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Lehrbücher$ADE-14/sred]|07-08-19 : l01|Che A 10: 52|201|false|false|false|$ADE-105|2. Auflage|Chemie ; ID: gnd/4009816-3||VC 5010|Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Lehrbücher$ADE-14/sred|W968 (2)|||;;;;;;;;;;
Pica2rvk-Export|28|1029832730|3-13-242832-9; 978-3-13-242832-4|Kurzlehrbuch Chemie||2019|Boeck, Gisela *1954-* ; ID: gnd/131735284$BVerfasserIn$4aut||Georg Thieme Verlag KG ; ID: gnd/1064287301$BVerlag$4pbl|VC 5100 [Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Allgemeine Anleitungen für das Chemische Praktikum (-) Allgemeine Laborhandbücher (-) Laboreinrichtung, Betriebssicherheit s. VB 4100 ff.$ADE-14/sred]|27-11-18 : l01|Che B 10: 63|201|false|false|false|Chemie ; ID: gnd/4009816-3|3., unveränderte Auflage|Chemie ; ID: gnd/4009816-3||s| |a|Chemistry$ADE-289|VC 5010|Chemie und Pharmazie / Allgemeine Chemie; Mathematik, Statistik und Datenverarbeitung in Chemie und Pharmazie / Allgemeine Chemie / Lehrbücher|B669 (3)|||;;;;;;;;
Pica2rvk-Export|29|1019626178|978-3-86581-779-2|Konfliktstoffe; über Kohlendioxid, Heroin und andere strittige Substanzen|Stoffgeschichten$lBand 11|2019|Soentgen, Jens *1967-* ; ID: gnd/12312994X$BVerfasserIn$4aut|||VB 2000 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Populärwissenschaftliche Darstellung; Trivialliteratur; Jugendsachbuch$ADE-520]|18-12-19 : l01|Che F 700: 70|0|false|false|false|Acetylsalicylsäure ; ID: gnd/4000351-6|||z|Geschichte|||||||;;;;;;;;;;
Pica2rvk-Export|30|1643424831|978-3-8325-4762-2; 3-8325-4762-2|Entwicklung und Validierung einer Learning Progression für das Konzept der chemischen Reaktion in der Sekundarstufe I|Studien zum Physik- und Chemielernen$lBand 263|2018|Weber, Katrin ; ID: gnd/1167346505$BVerfasserIn$4aut||Universität Duisburg-Essen ; ID: gnd/10050375-5$BGrad-verleihende Institution$4dgg|VB 4053 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktik und Methodologie der Chemie und Pharmazie an: / Weiterführende Schulen (Gymnasialmittel- und -unterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|12-11-18 : l01|Che G 120: 71|0|false|false|false|||Lerntechnik ; ID: gnd/4074168-0|||||||;;;;;;;;;;;
Pica2rvk-Export|31|1588004252|978-3-86523-298-4|Lernbereiche Luft und Chemische Reaktion||2018|Heimann, Rebekka *1963-* ; ID: gnd/172870518$BVerfasserIn$4aut|Venediger, Bettina ; ID: gnd/1171729960$BVerfasserIn$4aut||VB 4063 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktisches Lehrmaterial und Arbeitsmittel für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|25-02-19 : l01|Che G 420: 4,1|0|false|false|false||||||||Chemie³ - Ein aktivierendes Unterrichtskonzept mit Bezug zur Natur$hRebekka Heimann, Bettina Venediger$lBand 1||;;;;;;;;;;;;;
Pica2rvk-Export|32|158444293X||Chemie unterrichten; ein praktischer Leitfaden für Berufseinsteiger|Unterricht planen, Unterricht gestalten, Unterricht reflektieren|2018||Sieve, Bernhard$BHerausgeberIn$4edt|||05-02-19 : l01|Che G 120: 72|0|false|false|false||1. Auflage|Fachdidaktik ; ID: gnd/4123176-4|||||||;;;;;;;;;;;;;
Pica2rvk-Export|33|1581937512|978-3-12-068879-2|[Schülerband]||2018||||VB 4073 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|10-09-19 : l01|Che H 100: 98,7/10|201|false|false|false||Differenzierende Ausgabe Baden-Württemberg, 1. Auflage|||VB 4073|Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)|P959 -7/10|Prisma Chemie$hGudrun Eberhard, Reinhard Peppmeier, Jochen Schmid, Burkhard Weizel$l7-10||;;;;;;;;;;;;;;;
Pica2rvk-Export|34|1580641547||Chemie³ - Ein aktivierendes Unterrichtskonzept mit Bezug zur Natur||2018|Heimann, Rebekka *1963-* ; ID: gnd/172870518$BVerfasserIn$4aut|Venediger, Bettina ; ID: gnd/1171729960$BVerfasserIn$4aut||VB 4063 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Didaktisches Lehrmaterial und Arbeitsmittel für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|25-02-19 : l01|Che  G 420: 4|0|false|false|false|Experiment ; ID: gnd/4015999-1|||||||||;;;;;;;;;;;;
Pica2rvk-Export|35|1578261333|978-3-12-068875-4|[Schülerband]||2018||||VB 4073 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|10-09-19 : l01|Che H 100: 98,9/10|201|false|false|false||Differenzierende Ausgabe Baden-Württemberg, 1. Auflage|||VB 4073|Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)|P959 -9/10|Prisma Chemie 7/8$hGudrun Eberhard, Reinhard Peppmeier, Jochen Schmid, Burkhard Weizel$l9/10||;;;;;;;;;;;;;;;
Pica2rvk-Export|36|1577629647|978-3-527-34536-6; 3-527-34536-1||MAK- und BAT-Werte-Liste$l2018|2018||||AR 17300 [Allgemeines / Naturschutz und Umweltschutz / Umwelt und Arbeit / Gesundheitsschädliche Arbeitsstoffe, Unfallschäden]|23-07-18 : l01|Che A 250: 8,2018|202|false|false|false|||||VB 4150||D486 -2018|||;;;;;;;;;;;;;;
Pica2rvk-Export|37|1571462732|978-3-507-78036-1; 3-507-78036-4|[Schülerband]||2018||||VB 4073 [Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)]|05-06-18 : l01|Che H 100: 96,9/10|201|false|false|false|Chemieunterricht ; ID: gnd/4009832-1|Druck A1|||VB 4073|Chemie und Pharmazie / Bibliografien und Nachschlagewerke, Geschichte und Didaktik der Chemie und Pharmazie, Betriebssicherheit / Didaktik und Methodologie in der Chemie und Pharmazie allgemein / Schulbücher für: / Weiterführende Schulen (Gymnasialmittel- und Gymnasialunterstufe, Realschulen), Sekundarstufe 1 (Klasse 5-10)|L524 -9/10|Erlebnis Chemie$l9/10||;;;;;;;;;;;;;
